Label,a,b,c,d,e,f
0,9.06731782,0.657946507,0.386596425,0.084275588,1.786418322,0.243573177
0,9.038165049,0.780676544,0.265091191,0.128008319,2.159295394,0.37240163
0,11.38981917,0.681173397,-0.206987408,0.115062065,2.004235038,0.319277203
0,11.26749774,0.255992756,-0.463556287,0.090355152,0.670011443,0.259093741
0,8.903459066,0.572261323,-0.451405628,0.09430251,1.776777177,0.271885385
0,8.325575742,1.069454947,-0.31389366,0.122247274,3.142581828,0.344664452
0,11.12473709,0.710862869,0.131816361,0.155143268,1.697460101,0.434397255
0,11.41653736,0.736683969,0.471627892,0.057583313,1.81910934,0.15769947
0,9.64600003,0.702506187,0.427454034,0.096071192,1.686830468,0.254046119
0,8.418738841,0.639794266,0.262298915,0.149157546,1.80101707,0.440179092
0,11.27523995,0.721956755,-0.106796702,0.158699936,1.693084693,0.393047643
0,11.42601628,0.499914283,-0.412723503,0.178627362,1.471363683,0.488604648
0,9.080375602,0.939465624,-0.540750473,0.14461745,2.570946938,0.424854405
0,8.31443523,0.514701479,-0.246843776,0.118216695,1.414779862,0.322901676
0,11.03656781,0.886332261,0.13437625,0.150463972,2.392460283,0.445464041
0,11.15466713,0.505835785,0.410372439,0.057129563,1.218441753,0.153540616
0,9.224836948,0.70951926,0.457170175,0.055197531,2.065082543,0.155460333
0,8.558756494,0.458168704,0.219760873,0.091829007,1.198219822,0.263652294
0,10.76165572,0.731791963,-0.132708852,0.144222992,2.19626474,0.399503057
0,11.52787497,1.030021058,-0.449228005,0.110810869,2.707947789,0.328082836
0,8.769289298,0.41235095,-0.417663282,0.088164528,1.14247781,0.238773984
0,8.600366858,0.545581051,-0.182136713,0.073946852,1.570383828,0.190875817
0,10.75776512,0.867880572,0.132856291,0.136172107,2.162616718,0.393974714
0,11.88814282,0.556451855,0.382060368,0.063905651,1.335574985,0.169929881
0,8.689861077,0.798455945,0.425766538,0.064027677,2.296023373,0.161060566
0,8.860622643,0.600092286,0.189454004,0.196039194,1.586504992,0.603263169
0,11.28612307,0.776942481,-0.190849783,0.177851374,2.2546264,0.47316189
0,11.767151,0.593707153,-0.486511574,0.052607861,1.597589956,0.152371884
0,9.030905151,0.773951722,-0.467050445,0.115139985,2.337704444,0.299511001
0,8.249764759,0.769611314,-0.243614388,0.151777715,1.955826941,0.405237114
0,10.73368439,0.905154496,0.124012979,0.129995939,2.297993694,0.369726954
0,11.70020778,0.557929067,0.439536072,0.069931049,1.5700681,0.177147743
0,8.593124437,0.775460779,0.489829501,0.06366995,2.16651993,0.189518765
0,8.807740161,0.683704611,0.258212291,0.086340403,1.906682734,0.242725826
0,10.90973432,0.769187235,-0.152997107,0.193327778,2.042877465,0.578399304
0,11.04793322,0.715668263,-0.440700229,0.07947999,2.104638039,0.186796933
0,9.037023612,0.922333599,-0.47864467,0.103114749,2.24692098,0.246885276
0,8.596768017,0.683693901,-0.243648573,0.124466129,1.692021039,0.361881884
0,10.79703578,0.617765386,0.131342482,0.173513858,1.493060995,0.50330608
0,11.2158003,0.546513399,0.477113213,0.110867979,1.419023891,0.323727483
0,8.878549975,0.877781411,0.486793791,0.075204887,2.334633468,0.213236089
0,9.024053303,0.378775493,0.205270703,0.066301501,1.140687404,0.194191483
0,11.13882053,0.993342131,-0.187513576,0.215009922,2.933222919,0.618254506
0,11.92646163,0.548018298,-0.378888991,0.127562642,1.50619686,0.378952199
0,8.992875283,0.95564953,-0.431062311,0.111776482,2.97893255,0.312296205
0,8.662376673,0.842053337,-0.20137513,0.150139932,2.15676943,0.371134329
0,11.03366495,0.90473191,0.174281929,0.183973152,2.464445977,0.535397768
0,11.62149458,0.805226612,0.468389023,0.047575515,2.518769618,0.132262342
0,8.822215054,0.493731877,0.47754169,0.077987616,1.329205842,0.211496445
0,8.568757634,0.350592663,0.251198045,0.144739122,0.959080188,0.39868912
0,10.916175,0.641947159,-0.080892977,0.050058124,1.833497202,0.145188913
